DATE,WEEKDAY,HOLIDAY
19921127,5,Thanksgiving
19921224,2,Christmas Eve
19931126,5,Thanksgiving
19940211,5,Snowstorm
19941125,5,Thanksgiving
19950703,1,Independence Day
19951124,5,Thanksgiving
19951218,1,System Failure
19960108,1,Snowstorm
19960705,5,Independence Day
19961129,5,Thanksgiving
19961224,2,Christmas Eve
19970703,4,Independence Day
19971027,1,Circuit breakers
19971128,5,Thanksgiving
19971224,3,Christmas Eve
19971226,5,Friday after Christmas
19981026,1,System Failure
19981127,5,Thanksgiving
19981224,4,Christmas Eve
19991126,5,Thanksgiving
19991231,5,New Year's Eve
20000703,1,Independence Day
20001124,5,Thanksgiving
20010608,5,System Failure
20010703,2,Independence Day
20011123,5,Thanksgiving
20011224,1,Christmas Eve
20020705,5,Independence Day
20020911,3,Anniversary of 911
20021129,5,Thanksgiving
20021224,2,Christmas Eve
20030703,4,Independence Day
20031128,5,Thanksgiving
20031224,3,Christmas Eve
20031226,5,Friday after Christmas
20041126,5,Thanksgiving
20051125,5,Thanksgiving
20060703,1,Independence Day
20061124,5,Thanksgiving
20070703,2,Independence Day
20071123,5,Thanksgiving
20071224,1,Christmas Eve
20080703,4,Independence Day
20081128,5,Thanksgiving
20081224,3,Christmas Eve
20091127,5,Thanksgiving
20091224,4,Christmas Eve
20101126,5,Thanksgiving
20111125,5,Thanksgiving
20120703,2,Independence Day
20121123,5,Thanksgiving
20121224,1,Christmas Eve
20130703,3,Independence Day
20131129,5,Thanksgiving
20131224,2,Christmas Eve
