SYMBOL,NAME,EXCHANGE
AA,Alcoa,NYSE
AXP,American Express,NYSE
BA,Boeing Company,NYSE
BAC,Bank of America,NYSE
CAT,Caterpillar,NYSE
CSCO,Cisco,NASDAQ
CVX,Chevron,NYSE
DD,Du Pont De Nemours,NYSE
DIS,Walt Disney,NYSE
GE,General Motors,NYSE
HD,Home Depot,NYSE
HPQ,Hewlett-Packard,NYSE
IBM,Int. Business Machines,NYSE
INTC,Intel. Corp.,NASDAQ
JNJ,Johnson & Johnson,NYSE
JPM,J. P. Morgan,NYSE
KO,Coca-Cola,NYSE
MCD,McDonalds,NYSE
MMM,Minnesota Mng. Mfg,NYSE
MRK,Merck,NYSE
MSFT,Microsoft,NASDAQ
PFE,Pfizer,NYSE
PG,Procter & Gamble,NYSE
T,At&T,NYSE
TRV,Travelers,NYSE
UNH,United Health,NYSE
UTX,United Technologies,NYSE
VZ,Verizon,NYSE
WMT,Wal-Mart,NYSE
XOM,Exxon Mobil,NYSE
